Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
46:29.0,88.532,39.42
46:30.0,92.346,38.732
46:31.0,90.572,39.283
46:32.0,93.613,39.64
46:33.0,94.416,39.913
46:34.0,97.829,39.998
46:35.0,93.344,40.185
46:36.0,98.819,40.409
46:37.0,95.446,41.008
46:38.0,98.479,41.196
46:39.0,97.815,41.647
46:40.0,90.924,41.996
46:41.0,90.268,42.4
46:42.0,77.142,42.867
46:43.0,88.455,43.528
46:44.0,97.635,44.3
46:45.0,97.491,44.336
46:46.0,88.442,44.588
46:47.0,79.421,44.913
46:48.0,84.183,45.008
46:49.0,76.599,45.003
46:50.0,76.627,45.073
46:51.0,77.403,45.109
46:52.0,80.336,45.146
46:53.0,85.304,45.137
46:54.0,95.784,45.32
46:55.0,99.165,45.55
46:56.0,97.142,45.637
46:57.0,93.656,45.23
46:58.0,65.436,45.278
46:59.0,82.402,41.705
47:00.0,77.683,41.568
47:01.0,78.424,41.614
47:02.0,86.949,41.756
47:03.0,85.665,41.757
47:04.0,76.767,41.852
47:05.0,81.803,41.564
47:06.0,89.001,42.066
47:07.0,97.651,42.301
47:08.0,82.263,42.622
47:09.0,77.627,42.429
47:10.0,74.188,42.45
47:11.0,76.23,42.833
47:12.0,72.097,42.845
47:13.0,65.224,42.848
47:14.0,71.114,42.904
47:15.0,97.288,43.195
47:16.0,96.984,43.389
47:17.0,98.827,43.288
47:18.0,85.834,43.147
47:19.0,83.19,43.186
47:20.0,89.661,43.347
47:21.0,83.589,43.366
47:22.0,68.081,42.962
47:23.0,70.085,43.062
47:24.0,69.453,42.9
47:25.0,82.823,42.952
47:26.0,82.901,42.944
47:27.0,84.786,42.932
47:28.0,91.186,43.268
47:29.0,96.979,43.57
47:30.0,96.801,43.17
47:31.0,81.551,43.158
47:32.0,79.725,43.177
47:33.0,80.689,43.172
47:34.0,79.759,43.184
47:35.0,81.324,43.185
47:36.0,78.298,43.157
47:37.0,79.145,43.172
47:38.0,80.762,43.182
47:39.0,81.66,43.192
47:40.0,89.778,43.383
47:41.0,89.625,43.206
47:42.0,91.482,43.543
47:43.0,87.648,43.179
47:44.0,78.559,43.183
47:45.0,80.375,43.188
47:46.0,73.333,43.195
47:47.0,64.505,43.184
47:48.0,58.573,43.162
47:49.0,62.241,43.184
47:50.0,76.36,43.207
47:51.0,87.309,43.633
47:52.0,98.341,43.627
47:53.0,89.509,43.215
47:54.0,63.79,43.227
47:55.0,57.216,43.219
47:56.0,59.278,43.225
47:57.0,69.387,43.224
47:58.0,67.06,43.206
47:59.0,62.376,43.22
