Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
12:52:46.0,99.749,-1.0,83.259,162448.0
12:52:47.0,99.501,-1.0,83.258,183053.0
12:52:48.0,99.251,-1.0,83.26,175119.0
12:52:49.0,99.248,-1.0,83.259,176260.0
12:52:50.0,99.253,-1.0,83.261,179084.0
12:52:52.0,99.749,-1.0,83.26,176791.0
12:52:53.0,99.253,-1.0,83.259,172741.0
12:52:54.0,99.0,-1.0,83.257,171239.0
12:52:55.0,76.767,-1.0,83.263,3.0118212E7
12:52:56.0,88.471,-1.0,83.26,1259062.0
12:52:57.0,99.497,-1.0,83.261,163895.0
12:52:58.0,99.255,-1.0,83.259,152737.0
12:52:59.0,99.497,-1.0,83.258,175688.0
12:53:00.0,99.75,-1.0,83.256,178133.0
12:53:01.0,99.253,-1.0,83.255,144019.0
12:53:02.0,99.25,-1.0,83.255,164571.0
12:53:03.0,99.501,-1.0,83.253,177080.0
12:53:04.0,99.25,-1.0,83.253,167485.0
12:53:05.0,99.25,-1.0,83.252,163416.0
12:53:06.0,91.919,-1.0,83.259,1803235.0
12:53:07.0,83.502,-1.0,83.263,2.8575356E7
12:53:08.0,88.578,-1.0,83.259,1108372.0
12:53:09.0,99.002,-1.0,83.26,119150.0
12:53:10.0,98.245,-1.0,83.258,142617.0
12:53:11.0,98.997,-1.0,83.258,172583.0
12:53:12.0,99.75,-1.0,83.256,151227.0
12:53:13.0,99.75,-1.0,83.255,163383.0
12:53:14.0,99.498,-1.0,83.255,160957.0
12:53:15.0,99.25,-1.0,83.253,173077.0
12:53:16.0,99.499,-1.0,83.257,173422.0
12:53:17.0,99.501,-1.0,83.255,172683.0
12:53:18.0,87.939,-1.0,83.261,7708230.0
12:53:19.0,82.005,-1.0,83.254,2.3316211E7
12:53:20.0,95.522,-1.0,83.26,537928.0
12:53:21.0,99.248,-1.0,83.261,144723.0
12:53:22.0,99.498,-1.0,83.261,181583.0
12:53:23.0,99.501,-1.0,83.261,163157.0
12:53:24.0,99.499,-1.0,83.26,181677.0
12:53:25.0,99.749,-1.0,83.258,175073.0
12:53:26.0,98.999,-1.0,83.258,172782.0
12:53:27.0,99.75,-1.0,83.257,150089.0
12:53:28.0,99.497,-1.0,83.256,173083.0
12:53:29.0,94.0,-0.952,83.265,411294.0
12:53:30.0,81.185,-1.0,83.271,3.0578473E7
12:53:31.0,94.486,-1.0,83.269,684138.0
12:53:32.0,99.501,-1.0,83.268,162386.0
12:53:33.0,99.246,-1.0,83.267,172365.0
12:53:34.0,99.75,-1.0,83.266,184815.0
12:53:35.0,99.5,-1.0,83.265,172891.0
12:53:36.0,99.5,-1.0,83.265,172834.0
